Date,AKO1L.VS,AMG1L.VS,AUG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INL1L.VS,INR1L.VS,IVL1L.VS,KNE1L.VS,KNR1L.VS,NTU1L.VS,PZV1L.VS,ROE1L.VS,RSU1L.VS,UTR1L.VS,VBL1L.VS,VLP1L.VS,ZMP1L.VS,^OMXV
2024-10-31,1.1538056135177612,1.0288565158843994,0.1180000007152557,0.9165281057357788,16.93632698059082,3.5999999046325684,6.112935543060303,2.144970417022705,14.301724433898926,0.2035432159900665,0.9155761003494264,,1.1977418661117554,0.7318912148475647,3.0723819732666016,0.2399999946355819,8.195751190185547,7.088701725006104,2.39477276802063,
2024-11-29,1.1119834184646606,1.056171178817749,0.0546000003814697,0.9120132327079772,16.58494758605957,3.1600000858306885,6.112935543060303,2.163785696029663,15.025861740112305,0.2035432159900665,0.900808811187744,,1.2402150630950928,0.73544842004776,3.036022186279297,0.2460000067949295,8.932934761047363,7.313739776611328,2.2390151023864746,
2024-12-30,1.107231378555298,1.056171178817749,0.0608000010251998,0.9481325149536132,17.19985580444336,3.220000028610229,6.064802169799805,2.483649969100952,17.017240524291992,0.2061527520418167,0.9155761003494264,,1.3761290311813354,0.7327805161476135,3.2723593711853027,0.2980000078678131,9.193119049072266,7.632543563842773,2.20007586479187,
2025-01-31,1.1595041751861572,1.1290106773376465,0.1150000020861625,0.9616773724555968,18.49116516113281,3.220000028610229,5.920402526855469,2.615358352661133,17.19827651977539,0.2392067611217498,0.9254209995269777,,1.4525806903839111,0.8199315667152405,3.617775201797485,0.3199999928474426,10.619999885559082,8.401424407958984,2.39477276802063,
2025-02-28,1.2355371713638306,1.156325340270996,0.1089999973773956,0.9797370433807372,18.31547737121582,3.319999933242798,6.016668796539307,2.671804904937744,17.650861740112305,0.2505147159099579,1.0829395055770874,,1.4610753059387207,0.8430533409118652,3.5632357597351074,0.2860000133514404,12.669473648071287,8.72022819519043,3.19303035736084,
2025-03-31,1.1500000953674316,1.156325340270996,0.0917999967932701,0.975222110748291,18.6229305267334,3.4200000762939453,6.016668796539307,2.596543073654175,17.379310607910156,0.2409464567899704,1.7523930072784424,,1.4016128778457642,0.8368282318115234,3.726853609085083,0.270000010728836,12.390000343322754,8.7014741897583,3.115151643753052,
2025-04-30,1.1404958963394165,1.1927450895309448,0.0876000002026557,0.98876690864563,18.606874465942383,3.539999961853028,5.698394298553467,2.483649969100952,18.012929916381836,0.2609528303146362,1.663788914680481,,1.4993010759353638,0.794465184211731,3.654134511947632,0.2800000011920929,11.737895011901855,10.26736545562744,2.9009850025177,
2025-05-30,1.3163223266601562,1.1644552946090698,0.0850000008940696,1.0020546913146973,19.060699462890625,3.5999999046325684,7.122992992401123,2.704181909561157,18.63448143005371,0.281428575515747,1.690000057220459,,1.4973256587982178,0.8277262449264526,3.729694366455078,0.2860000133514404,11.27210521697998,11.32099151611328,2.7841665744781494,
2025-06-30,1.4161157608032229,1.1740000247955322,0.0865999981760978,1.0211416482925415,18.83378791809082,3.640000104904175,6.582627773284912,2.684727430343628,18.92413711547852,0.2701714038848877,1.7999999523162842,,1.4927326440811155,0.8125211596488953,3.729694366455078,0.2980000078678131,11.27210521697998,11.124957084655762,2.8815152645111084,
2025-07-31,1.4256198406219482,1.145365834236145,0.0839999988675117,1.0497716665267944,18.74302291870117,3.640000104904175,6.435256004333496,2.684727430343628,18.827585220336918,0.2757999897003174,1.7799999713897705,,1.5432558059692385,0.7669059038162231,3.9018337726593018,0.3000000119209289,10.992631912231444,10.193792343139648,2.8620455265045166,
2025-08-29,1.4683884382247925,1.1549105644226074,0.0799999982118606,1.0831735134124756,19.378379821777344,3.640000104904175,6.484379768371582,2.7236363887786865,18.827585220336918,0.2936238050460815,1.7799999713897705,,1.5432558059692385,0.7669059038162231,3.9209604263305664,0.3100000023841858,10.806316375732422,9.80172348022461,2.8620455265045166,
2025-09-30,1.58719003200531,1.145365834236145,0.0776000022888183,0.9925113916397096,19.227802276611328,3.5799999237060547,6.435256004333496,2.7236363887786865,22.399999618530277,0.294561892747879,1.830000042915344,,1.511104702949524,0.7602537274360657,4.188733577728272,0.3899999856948852,11.27210521697998,10.585862159729004,2.7062878608703613,
2025-10-31,1.7154958248138428,1.1549105644226074,0.0785999968647956,0.9972830414772034,19.64987564086914,3.5799999237060547,6.287883281707764,2.937636375427246,21.048274993896484,0.2992523908615112,1.7999999523162842,,1.2952325344085691,0.7726078629493713,4.322619915008545,0.3160000145435333,11.178947448730469,10.536852836608888,2.667348623275757,
2025-11-28,1.7949999570846558,1.145365834236145,0.0736000016331672,0.9505205154418944,19.41539001464844,3.839999914169312,6.33700704574585,3.0738184452056885,21.048274993896484,0.3292714357376098,1.7799999713897705,,1.3779070377349854,0.8809439539909363,4.207859992980957,0.3160000145435333,9.408947944641112,10.389827728271484,2.550530195236206,
2025-12-30,1.840000033378601,1.24081289768219,0.068800002336502,1.078401803970337,19.884361267089844,3.859999895095825,6.386131763458252,3.190545558929444,22.78620719909668,0.3808666467666626,1.899999976158142,,1.4605814218521118,0.8951987028121948,4.360873222351074,0.3100000023841858,10.52684211730957,11.5170259475708,2.608939409255981,
2026-01-30,1.830000042915344,1.231268286705017,0.0700000002980232,1.0831735134124756,21.197479248046875,4.179999828338623,6.582627773284912,3.171091079711914,27.034482955932617,0.4080714285373688,2.0999999046325684,,1.4973256587982178,0.91230446100235,4.37999963760376,0.3079999983310699,10.800000190734863,11.07594871520996,2.608939409255981,
2026-02-27,1.774999976158142,1.221723556518555,0.0659999996423721,1.045000076293945,20.44712448120117,3.9600000381469727,6.6808762550354,3.1516363620758057,25.682758331298828,0.4174523651599884,2.059999942779541,,1.4881396293640137,0.8400803804397583,4.475632667541504,0.3059999942779541,10.5,12.05612087249756,2.628409147262573,
2026-03-31,1.5499999523162842,1.1262763738632202,0.06700000166893,1.0020546913146973,20.02505111694336,4.079999923706055,6.189635276794434,3.0738184452056885,25.10344696044922,0.392123818397522,1.899999976158142,,1.4146511554718018,0.8733415007591248,4.226986885070801,0.3120000064373016,10.199999809265137,11.07594871520996,2.4531819820404053,
2026-04-30,1.7000000476837158,1.2200000286102295,0.06700000166893,1.0640867948532104,20.92265510559082,4.619999885559082,6.6808762550354,3.190545558929444,26.64827537536621,0.415576159954071,2.0,,1.566220998764038,0.9120000004768372,4.341746330261231,0.3339999914169311,10.399999618530272,11.32099151611328,2.5894699096679688,
2026-05-29,1.649999976158142,1.2000000476837158,0.0675999969244003,1.034999966621399,20.486764907836918,4.900000095367432,6.400000095367432,3.220000028610229,28.799999237060547,0.4429999887943268,2.119999885559082,,1.5850000381469729,0.8920000195503235,4.340000152587891,0.3199999928474426,10.100000381469728,11.75,2.5799999237060547,
2026-06-30,1.659999966621399,1.2000000476837158,0.0626000016927719,1.0149999856948853,20.583629608154297,4.960000038146973,6.650000095367432,3.1600000858306885,27.600000381469727,0.4749999940395355,2.0799999237060547,,1.690000057220459,0.8730000257492065,4.300000190734863,0.3499999940395355,9.649999618530272,15.699999809265137,2.680000066757202,
2026-07-31,1.7949999570846558,1.2000000476837158,0.0817999988794326,1.0399999618530271,21.64913558959961,4.900000095367432,6.900000095367432,3.039999961853028,27.799999237060547,0.4749999940395355,2.0999999046325684,,1.7549999952316284,0.8769999742507935,4.5,0.4180000126361847,9.899999618530272,14.850000381469728,2.559999942779541,
2026-08-31,1.7699999809265137,1.2000000476837158,0.0945999994874,1.0099999904632568,21.40697479248047,4.920000076293945,6.949999809265137,3.039999961853028,27.399999618530277,0.4930000007152557,2.059999942779541,,1.7300000190734863,0.8870000243186951,4.559999942779541,0.3840000033378601,9.699999809265137,15.550000190734863,2.5999999046325684,
