Rank,Ticker,Name,Return (%),Risk,Volatility,Follows Market Direction ?,Industry,Sector,Rating
243,AFRM.MX,"Affirm Holdings, Inc.",10.33,0.591,2.805,No,Credit Services,Financial Services,
244,AMC.MX,"AMC Entertainment Holdings, Inc.",14.95,0.873,2.626,No,Entertainment,Communication Services,
245,GICSAB.MX,Grupo Gicsa S.A.B. de C.V.,4.89,0.359,0.471,Yes,Real Estate - Diversified,Real Estate,
246,CLF.MX,Cleveland-Cliffs Inc.,9.0,0.673,0.323,No,Steel,Basic Materials,
247,NEE.MX,"NextEra Energy, Inc.",2.97,0.232,0.376,Yes,Utilities - Regulated Electric,Utilities,
248,TOST.MX,"Toast, Inc.",6.24,0.502,2.482,No,Software - Infrastructure,Technology,
249,UAA.MX,"Under Armour, Inc.",5.92,0.511,3.456,Yes,Apparel Manufacturing,Consumer Cyclical,
250,QVGMEX18.MX,QVGMEX es un ETF,1.09,0.099,0.903,Yes,,,
251,CVNA.MX,Carvana Co.,5.74,0.601,1.279,No,Auto & Truck Dealerships,Consumer Cyclical,
252,AZN1N.MX,AstraZeneca PLC,2.58,0.309,1.229,Yes,Drug Manufacturers - General,Healthcare,
253,SYF.MX,Synchrony Financial,1.56,0.204,0.631,Yes,Credit Services,Financial Services,
254,ANGELD10.MX,ETF - Diario Doble de Bolsa (ANGELD),1.56,0.216,2.065,Yes,,,
255,CLSK.MX,"CleanSpark, Inc.",6.14,0.954,0.434,Yes,Capital Markets,Financial Services,
256,FIBRAHD15.MX,Fideicomiso Irrevocable No. F/1523,0.83,0.135,0.01,Yes,REIT - Diversified,Real Estate,
257,DLON.MX,DLocal Limited,2.34,0.405,2.238,No,Software - Infrastructure,Technology,
258,HON.MX,Honeywell International Inc.,0.82,0.234,1.48,Yes,Conglomerates,Industrials,
259,YETI.MX,"YETI Holdings, Inc.",1.51,0.457,1.506,Yes,Leisure,Consumer Cyclical,
260,WDAY.MX,"Workday, Inc.",1.82,0.735,3.222,No,Software - Application,Technology,
261,FSLR.MX,"First Solar, Inc.",1.71,0.704,0.789,No,Solar,Technology,
262,NXPIN.MX,NXP Semiconductors N.V.,1.14,0.495,0.546,Yes,Semiconductors,Technology,
263,PSA.MX,Public Storage,0.45,0.21,0.792,Yes,REIT - Industrial,Real Estate,
264,DHR.MX,Danaher Corporation,0.4,0.193,0.619,No,Diagnostics & Research,Healthcare,
265,SHOPN.MX,Shopify Inc.,0.85,0.437,2.752,No,Software - Application,Technology,
266,GPN.MX,Global Payments Inc.,0.33,0.308,0.106,Yes,Specialty Business Services,Industrials,
267,OCGN.MX,"Ocugen, Inc.",0.13,0.59,0.196,Yes,Biotechnology,Healthcare,
268,ICHB.MX,"Industrias CH, S. A. B. de C. V.",0.03,0.184,0.068,Yes,Steel,Basic Materials,
269,WFC.MX,Wells Fargo & Company,-0.26,0.222,1.531,No,Banks - Diversified,Financial Services,
270,JBLU.MX,JetBlue Airways Corporation,-1.99,0.529,3.443,Yes,Airlines,Industrials,
271,Q.MX,"Quálitas Controladora, S.A.B. de C.V.",-0.93,0.226,0.345,No,Insurance - Property & Casualty,Financial Services,3.3 - Hold
