Rank,Ticker,Name,Return (%),Risk,Industry,Sector,Rating
25,8311.SR,Saudi Enaya Cooperative Insurance Company,39.15,0.485,Insurance - Life,Financial Services,
26,4337.SR,SICO Capital - SICO Saudi REIT Fund,17.22,0.246,REIT - Diversified,Real Estate,
27,2020.SR,SABIC Agri-Nutrients Company,22.22,0.314,Agricultural Inputs,Basic Materials,2.3 - Buy
28,1010.SR,Riyad Bank,9.44,0.141,Banks - Regional,Financial Services,1.8 - Buy
29,2110.SR,Saudi Cable Company,24.84,0.361,Electrical Equipment & Parts,Industrials,
30,9613.SR,Shalfa Facilities Management Company,14.46,0.219,Specialty Business Services,Industrials,
31,2370.SR,Middle East Specialized Cables Company,36.53,0.525,Electrical Equipment & Parts,Industrials,
32,8280.SR,Liva Insurance Company,22.23,0.357,Insurance - Diversified,Financial Services,
33,9614.SR,Purity for Information Technology Company,10.45,0.179,Information Technology Services,Technology,
34,2050.SR,Savola Group Company,17.37,0.306,Packaged Foods,Consumer Defensive,2.6 - Hold
35,4340.SR,Al Rajhi REIT Fund,3.75,0.074,REIT - Diversified,Real Estate,
36,9641.SR,Hawyia Auctions Company,7.37,0.144,Real Estate Services,Real Estate,
37,8120.SR,Gulf Union Alahlia Cooperative Insurance Company,13.42,0.284,Insurance - Diversified,Financial Services,
38,2282.SR,Naqi Water Company,7.71,0.17,Beverages - Non-Alcoholic,Consumer Defensive,
39,2230.SR,Saudi Chemical Holding Company,13.52,0.293,Drug Manufacturers - Specialty & Generic,Healthcare,
40,3010.SR,Arabian Cement Company,5.35,0.124,Building Materials,Basic Materials,
41,9583.SR,United Mining Industries Company,10.69,0.246,Building Materials,Basic Materials,
42,2200.SR,Arabian Pipes Company,20.44,0.461,Steel,Basic Materials,
43,6019.SR,Almasar Alshamil Education Company JSC,9.06,0.241,Education & Training Services,Consumer Defensive,
44,9632.SR,Future Vision for Health Training Company,22.24,0.597,Education & Training Services,Consumer Defensive,
45,2070.SR,Saudi Pharmaceutical Industries and Medical Appliances Corporation,7.55,0.221,Drug Manufacturers - Specialty & Generic,Healthcare,2.5 - Buy
46,3007.SR,Zahrat Al Waha For Trading Company,10.71,0.311,Packaging & Containers,Consumer Cyclical,
47,9513.SR,Watani Iron Steel Company,11.15,0.327,Steel,Basic Materials,
48,4300.SR,Dar Al Arkan Real Estate Development Company,9.93,0.323,Real Estate - Development,Real Estate,
49,7020.SR,Etihad Etisalat Company,6.11,0.203,Telecom Services,Communication Services,1.6 - Buy
50,4162.SR,Almunajem Foods Company,8.43,0.289,Food Distribution,Consumer Defensive,
51,2283.SR,The First Milling Company,8.07,0.288,Packaged Foods,Consumer Defensive,
52,1304.SR,Al Yamamah Steel Industries Company,10.98,0.39,Steel,Basic Materials,
53,1320.SR,Saudi Steel Pipes Company,14.06,0.503,Steel,Basic Materials,
54,9532.SR,Aljouf Mineral Water Bottling Co.,5.46,0.219,Beverages - Non-Alcoholic,Consumer Defensive,
55,2285.SR,Arabian Mills for Food Products Company,6.05,0.25,Farm Products,Consumer Defensive,
56,2290.SR,Yanbu National Petrochemical Company,12.5,0.53,Chemicals,Basic Materials,3.3 - Hold
57,9547.SR,Rawasi Albina Investment Co.,11.07,0.492,Engineering & Construction,Industrials,
58,8010.SR,The Company for Cooperative Insurance,7.73,0.35,Insurance - Life,Financial Services,1.1 - Strong Buy
59,2180.SR,Filling and Packing Materials Manufacturing Company,8.23,0.38,Packaging & Containers,Consumer Cyclical,
60,9594.SR,Al-Modawat Specialized Medical Company,13.68,0.675,Medical Care Facilities,Healthcare,
61,9598.SR,Al Mohafaza Company for Education,4.84,0.248,Education & Training Services,Consumer Defensive,
62,1212.SR,Astra Industrial Group Company,6.28,0.358,Conglomerates,Industrials,
63,4339.SR,Derayah Financial - Derayah Reit Fund,1.95,0.115,REIT - Diversified,Real Estate,
64,8030.SR,The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company,6.68,0.422,Insurance - Life,Financial Services,3.0 - Hold
65,4146.SR,Gas Arabian Services Company,6.38,0.419,Oil & Gas Equipment & Services,Energy,
66,1834.SR,Saudi Manpower Solutions Company,3.28,0.256,Staffing & Employment Services,Industrials,
67,4191.SR,Abdullah Saad Mohammed Abo Moati for Bookstores Company,5.59,0.438,Specialty Retail,Consumer Cyclical,
68,4349.SR,Alinma Hospitality REIT,0.81,0.066,REIT - Hotel & Motel,Real Estate,
69,8310.SR,Amana Cooperative Insurance Company,4.43,0.37,Insurance - Life,Financial Services,
70,2280.SR,Almarai Company,2.76,0.243,Packaged Foods,Consumer Defensive,1.5 - Strong Buy
71,9648.SR,Hamad Mohammed Bin Saedan Real Estate Company,8.75,0.767,Real Estate - Development,Real Estate,
72,8040.SR,Mutakamela Insurance Company,5.45,0.502,Insurance - Diversified,Financial Services,
73,9587.SR,Lana Medical Company,5.46,0.542,Medical Distribution,Healthcare,
74,8230.SR,Al Rajhi Company for Cooperative Insurance,5.8,0.606,Insurance - Property & Casualty,Financial Services,3.0 - Hold
75,9521.SR,INMAR Company,2.17,0.304,Real Estate - Development,Real Estate,
76,8300.SR,Wataniya Insurance Company,3.12,0.497,Insurance - Diversified,Financial Services,
77,4336.SR,Mulkia Gulf Real Estate REIT,0.41,0.068,REIT - Diversified,Real Estate,
78,4020.SR,Saudi Real Estate Company,1.07,0.311,Real Estate Services,Real Estate,
79,9612.SR,SAMA Healthy Water Factory company,0.49,0.147,Beverages - Non-Alcoholic,Consumer Defensive,
80,6040.SR,Tabuk Agricultural Development Company,1.69,0.653,Farm Products,Consumer Defensive,
81,9574.SR,Professional Medical Expertise Company,0.62,0.25,Medical Devices,Healthcare,
82,4328.SR,Ladun Investment Co.,-0.16,0.338,Real Estate - Development,Real Estate,
83,8210.SR,Bupa Arabia for Cooperative Insurance Company,-0.28,0.282,Insurance - Life,Financial Services,2.1 - Buy
84,7211.SR,Saudi Azm for Communication and Information Technology Company,-0.48,0.389,Software - Application,Technology,
85,4016.SR,Middle East Pharmaceutical Industries Company,-0.38,0.295,Drug Manufacturers - Specialty & Generic,Healthcare,
86,3080.SR,Eastern Province Cement Company,-0.51,0.207,Building Materials,Basic Materials,
87,9558.SR,Alqemam for Computer Systems Co.,-2.26,0.843,Software - Infrastructure,Technology,
88,4250.SR,Jabal Omar Development Company,-1.15,0.325,Lodging,Consumer Cyclical,
89,4100.SR,Makkah Construction and Development Company,-1.97,0.3,Lodging,Consumer Cyclical,
90,9588.SR,Riyadh Steel Company,-3.87,0.44,Steel,Basic Materials,
91,3060.SR,Yanbu Cement Company,-1.86,0.208,Building Materials,Basic Materials,
92,4040.SR,Saudi Public Transport Company,-4.63,0.443,Railroads,Industrials,
93,8060.SR,Walaa Cooperative Insurance Company,-3.88,0.341,Insurance - Diversified,Financial Services,3.0 - Hold
94,2350.SR,Saudi Kayan Petrochemical Company,-3.6,0.301,Chemicals,Basic Materials,3.0 - Hold
95,1120.SR,Al Rajhi Banking and Investment Corporation,-2.67,0.2,Banks - Regional,Financial Services,2.2 - Buy
96,7030.SR,Mobile Telecommunications Company Saudi Arabia,-2.2,0.155,Telecom Services,Communication Services,3.4 - Hold
97,4148.SR,Alwasail Industrial Company,-5.68,0.402,Specialty Chemicals,Basic Materials,
98,9579.SR,Rimath Hospitality Company,-7.39,0.462,Household & Personal Products,Consumer Defensive,
99,9566.SR,Saudi Lime Industries Company,-5.08,0.297,Building Materials,Basic Materials,
100,1140.SR,Bank Albilad,-3.81,0.22,Banks - Regional,Financial Services,2.3 - Buy
101,4291.SR,National Company for Learning and Education,-5.34,0.309,Education & Training Services,Consumer Defensive,
102,4263.SR,SAL Saudi Logistics Services Company,-3.86,0.217,Integrated Freight & Logistics,Industrials,
103,1080.SR,Arab National Bank,-3.14,0.175,Banks - Regional,Financial Services,2.3 - Buy
104,9541.SR,Academy of Learning Company,-4.7,0.245,Education & Training Services,Consumer Defensive,
105,2150.SR,The National Company for Glass Industries,-3.64,0.179,Packaging & Containers,Consumer Cyclical,
106,7205.SR,Dar AlBalad for Business Solutions Company,-12.28,0.604,Information Technology Services,Technology,
107,9563.SR,BENA Steel Industries,-6.07,0.288,Steel,Basic Materials,
108,9639.SR,Anmat Technology for Trading Co.,-7.28,0.346,,,
109,1820.SR,BAAN Holding Group Company,-6.87,0.293,Lodging,Consumer Cyclical,
110,9647.SR,Wajd life trading Company,-6.56,0.262,Medical Distribution,Healthcare,
111,9516.SR,Natural Gas Distribution Company,-11.47,0.449,Utilities - Regulated Gas,Utilities,
112,4002.SR,Mouwasat Medical Services Company,-6.61,0.251,Medical Care Facilities,Healthcare,1.9 - Buy
113,8150.SR,Allied Cooperative Insurance Group,-14.43,0.529,Insurance - Property & Casualty,Financial Services,
114,4090.SR,Taiba Investment Company,-8.4,0.298,Lodging,Consumer Cyclical,
115,9589.SR,Fad International Company,-4.61,0.159,Apparel Retail,Consumer Cyclical,
116,2340.SR,Artex Industrial Investment Company,-9.41,0.331,Textile Manufacturing,Consumer Cyclical,
117,9575.SR,Marble Design Factory Company,-7.22,0.25,Building Materials,Basic Materials,
118,8012.SR,Aljazira Takaful Taawuni Company,-5.8,0.198,Insurance - Life,Financial Services,
119,9559.SR,Balady Poultry Company,-14.41,0.513,Farm Products,Consumer Defensive,
120,9650.SR,Sahat Almajd Trading Company,-6.91,0.235,Packaged Foods,Consumer Defensive,
121,2170.SR,Alujain Corporation,-12.75,0.439,Specialty Chemicals,Basic Materials,
122,4142.SR,Riyadh Cables Group Company,-11.08,0.363,Electrical Equipment & Parts,Industrials,
123,2240.SR,Advanced Building Industries Co.,-11.33,0.364,Building Products & Equipment,Industrials,
124,9631.SR,Hedab Alkhaleej Trading Co.,-11.69,0.373,Residential Construction,Consumer Cyclical,
125,8180.SR,Al Sagr Cooperative Insurance Company,-10.75,0.333,Insurance - Property & Casualty,Financial Services,
126,4332.SR,Jadwa REIT Al Haramain Fund,-2.98,0.089,REIT - Hotel & Motel,Real Estate,
127,4051.SR,Baazeem Trading Company,-8.82,0.268,Conglomerates,Industrials,
128,9569.SR,"AlMuneef Company for Trade, Industry, Agriculture and Contracting",-13.31,0.393,Agricultural Inputs,Basic Materials,
129,4013.SR,Dr. Sulaiman Al Habib Medical Services Group Company,-9.99,0.273,Medical Care Facilities,Healthcare,1.9 - Buy
130,6060.SR,Ash-Sharqiyah Development Co.,-12.01,0.331,Farm Products,Consumer Defensive,
131,4170.SR,Tourism Enterprise Company (Shams),-16.84,0.472,Resorts & Casinos,Consumer Cyclical,
132,9635.SR,Dkhoun National Trading Company,-12.56,0.334,Household & Personal Products,Consumer Defensive,
133,4350.SR,Alistithmar AREIC Diversified REIT,-7.64,0.198,REIT - Diversified,Real Estate,
134,8070.SR,Arabian Shield Cooperative Insurance Company,-10.16,0.262,Insurance - Property & Casualty,Financial Services,
135,1835.SR,Tamkeen Human Resources Company,-9.56,0.235,Staffing & Employment Services,Industrials,
136,1323.SR,United Carton Industries Company,-7.44,0.18,Packaging & Containers,Consumer Cyclical,
137,6070.SR,Al-Jouf Agricultural Development Co.,-11.55,0.282,Packaged Foods,Consumer Defensive,
138,9560.SR,Waja Company,-10.5,0.255,Engineering & Construction,Industrials,
139,4110.SR,Batic Investments and Logistics Company,-10.32,0.246,Conglomerates,Industrials,
140,2030.SR,Saudi Arabian Refineries Company,-14.54,0.348,Conglomerates,Industrials,
141,1210.SR,Basic Chemical Industries Company,-9.51,0.213,Chemicals,Basic Materials,
142,4342.SR,Jadwa Investment - Jadwa Reit Saudi Fund,-5.75,0.12,REIT - Residential,Real Estate,
143,4015.SR,Jamjoom Pharmaceuticals Factory Company,-9.6,0.2,Drug Manufacturers - Specialty & Generic,Healthcare,
144,6018.SR,Sport Clubs Company,-16.4,0.353,Leisure,Consumer Cyclical,
145,6050.SR,Saudi Fisheries Company,-52.62,1.397,Farm Products,Consumer Defensive,
146,2360.SR,Saudi Vitrified Clay Pipe Company,-21.36,0.44,Building Products & Equipment,Industrials,
147,2010.SR,Saudi Basic Industries Corporation,-14.19,0.276,Chemicals,Basic Materials,2.7 - Hold
148,9634.SR,Adeer Real Estate Company,-12.5,0.239,Real Estate Services,Real Estate,
149,8260.SR,Gulf General Cooperative Insurance Company,-15.12,0.293,Insurance - Property & Casualty,Financial Services,
150,9578.SR,Atlas Elevators General Trading & Contracting Company,-10.88,0.204,Industrial Distribution,Industrials,
151,4005.SR,National Medical Care Company,-22.68,0.448,Medical Care Facilities,Healthcare,1.6 - Buy
152,1301.SR,United Wire Factories Company,-19.39,0.369,Building Products & Equipment,Industrials,
153,2080.SR,National Gas and Industrialization Company,-17.46,0.32,Oil & Gas Integrated,Energy,
154,9620.SR,Balsm Alofoq Medical Company,-10.93,0.192,Medical Devices,Healthcare,
155,4004.SR,Dallah Healthcare Company,-26.07,0.493,Medical Care Facilities,Healthcare,2.4 - Buy
156,8050.SR,Salama Cooperative Insurance Company,-25.02,0.461,Insurance - Property & Casualty,Financial Services,
157,9543.SR,Saudi Networkers Services Company,-10.86,0.18,Consulting Services,Industrials,
158,7203.SR,Elm Company,-23.9,0.414,Information Technology Services,Technology,
159,2060.SR,National Industrialization Company,-18.72,0.312,Chemicals,Basic Materials,
160,3005.SR,Umm Al-Qura Cement Company,-17.29,0.278,Building Materials,Basic Materials,
161,9601.SR,Mohammed Hadi Al-Rasheed Company,-16.89,0.265,Other Industrial Metals & Mining,Basic Materials,
162,9627.SR,Twareat Medical Care Company,-25.91,0.426,Medical Care Facilities,Healthcare,
163,4330.SR,Riyad REIT Fund,-6.76,0.096,REIT - Hotel & Motel,Real Estate,
164,4082.SR,Morabaha Marina Financing Company,-18.6,0.268,Credit Services,Financial Services,
165,4160.SR,Thimar Development Holding Company,-18.66,0.268,Asset Management,Financial Services,
166,2040.SR,Saudi Ceramic Company,-18.31,0.26,Building Products & Equipment,Industrials,3.5 - Hold
167,1832.SR,Sadr Logistics Company,-14.37,0.196,Metal Fabrication,Industrials,
168,9546.SR,Naba Al Saha Medical Services Company,-21.75,0.307,Medical Care Facilities,Healthcare,
169,9611.SR,Arabian United Float Glass Company,-14.72,0.197,Building Materials,Basic Materials,
170,9608.SR,Al Ashghal Al Moysra Co.,-26.89,0.383,Integrated Freight & Logistics,Industrials,
171,2270.SR,Saudia Dairy & Foodstuff Company,-20.41,0.277,Packaged Foods,Consumer Defensive,2.0 - Buy
172,9570.SR,Tam Development Company,-27.63,0.388,Consulting Services,Industrials,
173,1202.SR,Middle East Company for Manufacturing and Producing Paper,-28.72,0.386,Paper & Paper Products,Basic Materials,
174,9524.SR,Advance International Company for Communication and Information Technology,-35.71,0.498,Security & Protection Services,Industrials,
175,9596.SR,Quara Finance Company,-9.18,0.109,Credit Services,Financial Services,
176,9562.SR,Foods Gate Trading Co.,-18.27,0.224,Restaurants,Consumer Cyclical,
177,4164.SR,Nahdi Medical Company,-17.55,0.211,Pharmaceutical Retailers,Healthcare,1.7 - Buy
178,9577.SR,DAR ALMARKABAH For Renting Cars Company,-40.42,0.556,Rental & Leasing Services,Industrials,
179,4018.SR,Almoosa Health Company,-27.01,0.334,Medical Care Facilities,Healthcare,
180,9515.SR,Fesh Fash Snack Food Production Company,-26.88,0.328,Packaged Foods,Consumer Defensive,
181,4071.SR,Arabian Contracting Services Company,-35.46,0.446,Advertising Agencies,Communication Services,3.3 - Hold
182,9649.SR,Jamjoom Fashion Trading Company,-23.58,0.274,Apparel Manufacturing,Consumer Cyclical,
183,6013.SR,Development Works Food Company,-27.5,0.32,Restaurants,Consumer Cyclical,
184,9561.SR,Knowledge Net Computer Company,-35.53,0.429,Software - Application,Technology,
185,9606.SR,Altharwah Albashariyyah Co.,-40.5,0.474,Consulting Services,Industrials,
186,9597.SR,Leaf Global Environmental Services Company,-56.75,0.744,Waste Management,Industrials,
187,2140.SR,Ayyan Investment Company,-24.57,0.247,Packaged Foods,Consumer Defensive,
188,4331.SR,Aljazira Mawten REIT Fund,-15.66,0.149,REIT - Industrial,Real Estate,
189,4084.SR,Derayah Financial Company,-24.83,0.247,Asset Management,Financial Services,
190,4346.SR,MEFIC REIT Fund,-11.47,0.105,REIT - Diversified,Real Estate,
191,2330.SR,Advanced Petrochemical Company,-31.89,0.319,Chemicals,Basic Materials,2.3 - Buy
192,6010.SR,The National Agricultural Development Company,-29.38,0.285,Packaged Foods,Consumer Defensive,
193,9538.SR,Naseej for Technology Co.,-30.77,0.3,Information Technology Services,Technology,
194,6016.SR,Shatirah House Restaurant Co.,-25.65,0.24,Restaurants,Consumer Cyclical,
195,1810.SR,Seera Holding Group,-30.9,0.29,Travel Services,Consumer Cyclical,
196,3050.SR,Southern Province Cement Company,-26.32,0.228,Building Materials,Basic Materials,
197,4180.SR,Fitaihi Holding Group,-26.79,0.232,Luxury Goods,Consumer Cyclical,
198,4264.SR,Flynas Company,-34.9,0.317,Airlines,Industrials,
199,9605.SR,Neft Alsharq For Chemical Industry Company,-35.61,0.323,Specialty Chemicals,Basic Materials,
200,4323.SR,Sumou Real Estate Company,-31.72,0.276,Real Estate - Development,Real Estate,
201,9536.SR,Arabian Food and Dairy Factories Company,-31.62,0.271,Packaged Foods,Consumer Defensive,
202,9602.SR,Yaqeen Capital Company,-20.81,0.162,Asset Management,Financial Services,
203,4193.SR,Nice One Beauty Digital Marketing Company,-48.47,0.452,Household & Personal Products,Consumer Defensive,
204,9510.SR,National Building and Marketing Co.,-53.93,0.525,Steel,Basic Materials,
205,6012.SR,Raydan Food Company,-44.64,0.387,Restaurants,Consumer Cyclical,
206,6020.SR,Al Gassim Investment Holding Company,-34.26,0.274,Farm Products,Consumer Defensive,
207,2081.SR,Alkhorayef Water and Power Technologies Company,-29.46,0.225,Utilities - Regulated Water,Utilities,
208,4141.SR,Al-Omran Industrial Trading Company,-34.74,0.271,"Furnishings, Fixtures & Appliances",Consumer Cyclical,
209,9599.SR,Taqat Mineral Trading Company,-41.01,0.334,Metal Fabrication,Industrials,
210,4320.SR,Alandalus Property Company,-25.27,0.184,Real Estate Services,Real Estate,
211,4194.SR,Marketing Home Group Company for Trading Company,-38.12,0.292,Industrial Distribution,Industrials,
212,4260.SR,United International Transportation Company,-40.8,0.313,Rental & Leasing Services,Industrials,
213,9571.SR,Munawla Cargo Co. Ltd.,-43.44,0.331,Integrated Freight & Logistics,Industrials,
214,9537.SR,Amwaj International Company,-53.04,0.43,"Furnishings, Fixtures & Appliances",Consumer Cyclical,
215,4081.SR,Nayifat Finance Company,-26.05,0.174,Credit Services,Financial Services,
216,4003.SR,United Electronics Company,-23.19,0.145,Specialty Retail,Consumer Cyclical,
217,1302.SR,Bawan Company,-36.77,0.249,Building Products & Equipment,Industrials,
218,9591.SR,View United Real Estate Development Co.,-31.17,0.203,Real Estate - Development,Real Estate,
219,9617.SR,Arabica Star Company,-44.77,0.315,Restaurants,Consumer Cyclical,
220,9545.SR,International Human Resources Company,-25.44,0.157,Staffing & Employment Services,Industrials,
221,4230.SR,Red Sea International Company,-47.59,0.336,Real Estate Services,Real Estate,
222,9592.SR,Almujtama Alraida Medical Co.,-35.68,0.226,Pharmaceutical Retailers,Healthcare,
223,4321.SR,Arabian Centres Company,-28.29,0.171,Real Estate - Diversified,Real Estate,
224,3091.SR,Al Jouf Cement Company,-28.44,0.171,Building Materials,Basic Materials,
225,3030.SR,Saudi Cement Company,-27.32,0.163,Building Materials,Basic Materials,
226,9595.SR,WSM For Information Technology,-42.25,0.272,Consulting Services,Industrials,
227,4001.SR,Abdullah Al-Othaim Markets Company,-34.37,0.207,Grocery Stores,Consumer Defensive,3.0 - Hold
228,2287.SR,Arabian Company for Agricultural and Industrial Investment,-43.52,0.259,Packaged Foods,Consumer Defensive,
229,9567.SR,Ghida Al-Sultan Company,-49.38,0.303,Restaurants,Consumer Cyclical,
230,9640.SR,ASAS Makeen Real Estate Development and Investment Company,-42.92,0.247,Real Estate Services,Real Estate,
231,9623.SR,Al Battal Factory for Chemical Industries Company,-60.06,0.392,Specialty Chemicals,Basic Materials,
232,9653.SR,Khaled Dhafer & Brothers Logistics Services Company,-43.31,0.244,Integrated Freight & Logistics,Industrials,
233,9550.SR,Sure Global Tech Co.,-44.68,0.248,Information Technology Services,Technology,
234,9527.SR,Alf Meem Yaa for Medical Supplies and Equipment Company,-43.97,0.241,Medical Distribution,Healthcare,
235,4083.SR,United International Holding Company,-47.46,0.261,Asset Management,Financial Services,
236,9642.SR,Time Entertainment Company,-69.0,0.448,Entertainment,Communication Services,
237,9619.SR,Multi Business Group Company for Projects,-58.43,0.336,Engineering & Construction,Industrials,
238,9630.SR,Ratio Speciality Company for Trading,-59.37,0.34,Restaurants,Consumer Cyclical,
239,9553.SR,Molan Steel Company,-58.02,0.325,Steel,Basic Materials,
240,4150.SR,Arriyadh Development Co.,-47.17,0.24,Real Estate - Diversified,Real Estate,
241,9633.SR,Service Equipment Co.,-54.47,0.29,Specialty Industrial Machinery,Industrials,
242,2288.SR,Nofoth Food Products Company,-47.47,0.236,Grocery Stores,Consumer Defensive,
243,1201.SR,Takween Advanced Industries,-40.44,0.19,Packaging & Containers,Consumer Cyclical,
244,4210.SR,Saudi Research and Media Group,-66.18,0.388,Publishing,Communication Services,
245,4031.SR,Saudi Ground Services Company,-42.0,0.193,Airports & Air Services,Industrials,3.0 - Hold
246,3002.SR,Najran Cement Company,-31.89,0.136,Building Materials,Basic Materials,
247,9586.SR,Osool & Bakheet Investment Company,-59.52,0.305,Asset Management,Financial Services,
248,4262.SR,Lumi Rental Company,-56.62,0.266,Rental & Leasing Services,Industrials,
249,3090.SR,Tabuk Cement Company,-29.29,0.109,Building Materials,Basic Materials,
250,9551.SR,Knowledge Tower,-62.45,0.27,Specialty Retail,Consumer Cyclical,
251,9539.SR,Aqaseem Factory for Chemicals and Plastics Co.,-52.01,0.204,Oil & Gas Refining & Marketing,Energy,
252,1324.SR,Saleh Abdulaziz Al Rashed & Sons Co.,-66.75,0.29,Engineering & Construction,Industrials,
253,4324.SR,Banan Real Estate Company,-37.47,0.124,Real Estate Services,Real Estate,
254,4326.SR,Dar Al Majed Real Estate Company,-50.66,0.179,Real Estate - Development,Real Estate,
255,4072.SR,MBC Group,-47.0,0.153,Broadcasting,Communication Services,1.7 - Buy
256,1214.SR,Al Hassan Ghazi Ibrahim Shaker Company,-48.83,0.133,Electronics & Computer Distribution,Technology,
257,4261.SR,Theeb Rent A Car Company,-53.27,0.122,Rental & Leasing Services,Industrials,
