Date,ARC1T.TL,CPA1T.TL,EFCUPFFT.TL,EFT1T.TL,HAE1T.TL,HPR1T.TL,INF1T.TL,LHV1T.TL,LVN1T.TL,MRK1T.TL,NCN1T.TL,NHCBHFFT.TL,PKG1T.TL,PRF1T.TL,SFG1T.TL,SKN1T.TL,TAL1T.TL,TKM1T.TL,TPD1T.TL,TSM1T.TL,TVE1T.TL,^OMXT
2024-07-31,1.3927139043807983,1.9545761346817017,,16.701385498046875,4.489602565765381,5.173165798187256,34.73888397216797,3.2206103801727295,,14.87164306640625,0.4950000047683716,0.2522999942302704,0.9100000262260437,0.09799999743700027,1.0549999475479126,0.9480000138282776,0.5225181579589844,8.402122497558594,0.5239999890327454,0.970497727394104,9.30294132232666,
2024-08-30,1.3350841999053955,1.8820449113845825,,16.479291915893555,4.336548328399658,4.751241207122803,35.13414001464844,3.0999531745910645,,14.907739639282227,0.5920000076293945,0.25040000677108765,0.8299999833106995,0.09459999948740005,1.0049999952316284,1.0,0.5130021572113037,8.25286865234375,0.5440000295639038,0.9454756379127502,9.212180137634277,
2024-09-30,1.2867791652679443,1.8198751211166382,,16.39045524597168,4.322633743286133,4.338488578796387,34.826717376708984,2.9885778427124023,,14.979931831359863,0.5690000057220459,0.33000001311302185,0.800000011920929,0.09619999676942825,0.949999988079071,0.9240000247955322,0.5043511986732483,8.446020126342773,0.5360000133514404,0.9472628831863403,9.121419906616211,
2024-10-31,1.3206417560577393,1.982835054397583,,16.923477172851562,4.262339115142822,4.42103910446167,35.0902214050293,3.1556413173675537,,15.66576099395752,0.6399999856948853,0.29600000381469727,0.7599999904632568,0.09880000352859497,0.9319999814033508,0.9300000071525574,0.5190578699111938,8.226530075073242,0.6439999938011169,0.9508374929428101,9.39370059967041,
2024-11-29,1.3545043468475342,1.8782769441604614,,16.879060745239258,4.266977310180664,3.9440808296203613,38.29621124267578,2.9839370250701904,,17.235946655273438,0.6819999814033508,0.2549999952316284,0.6579999923706055,0.057999998331069946,0.9940000176429749,0.8399999737739563,0.49570024013519287,8.147512435913086,0.6600000262260437,0.9436883330345154,9.121419906616211,
2024-12-30,1.408200740814209,1.848134160041809,,16.834640502929688,4.2437872886657715,3.834012985229492,39.387786865234375,3.0117807388305664,,18.815155029296875,0.671999990940094,0.2513999938964844,0.7879999876022339,0.06419999897480011,1.0199999809265137,0.8999999761581421,0.5017558932304382,8.314326286315918,0.6200000047683716,0.9436883330345154,9.257560729980469,
2025-01-31,1.373854398727417,2.0346431732177734,,17.767431259155273,4.475688457489014,3.824840784072876,40.9341926574707,3.23917293548584,,20.3492431640625,0.7649999856948853,0.2750000059604645,0.9559999704360962,0.06499999761581421,1.1449999809265137,0.8640000224113464,0.5545267462730408,8.665512084960938,0.6399999856948853,1.0276908874511719,9.257560729980469,
2025-02-28,1.393480896949768,2.0016744136810303,,17.723012924194336,4.1927690505981445,3.714773654937744,42.617042541503906,3.4572830200195312,,22.78573989868164,0.875,0.26600000262260437,0.949999988079071,0.05939999967813492,1.409999966621399,0.800000011920929,0.5675032138824463,8.71819019317627,0.699999988079071,1.0705857276916504,9.484460830688477,
2025-03-31,1.5268235206604004,1.973415493965149,,17.63417625427246,4.294805526733398,3.45794939994812,42.389625549316406,3.4015955924987793,,23.823505401611328,0.8220000267028809,0.25999999046325684,1.090000033378601,0.05700000002980232,1.3049999475479126,0.8519999980926514,0.5536616444587708,9.018181800842285,0.7099999785423279,1.0562875270843506,9.529841423034668,
2025-04-30,1.4971764087677002,2.0630576610565186,,18.006715774536133,4.313357830047607,5.31992244720459,41.843841552734375,3.354008197784424,,25.131994247436523,0.7889999747276306,0.26980000734329224,0.9800000190734863,0.052000001072883606,1.399999976158142,0.8600000143051147,0.5294389724731445,8.764545440673828,0.6859999895095825,1.093820571899414,9.802123069763184,
